Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,197,0,Some Random Commen with Id 0
1,2,2,98,3,Some Random Commen with Id 1
2,2,2,175,3,Some Random Commen with Id 2
3,2,2,159,1,Some Random Commen with Id 3
4,2,2,33,8,Some Random Commen with Id 4
5,3,5,76,1,Some Random Commen with Id 5
6,3,5,48,3,Some Random Commen with Id 6
7,3,5,19,9,Some Random Commen with Id 7
8,3,5,159,5,Some Random Commen with Id 8
9,3,5,122,4,Some Random Commen with Id 9
10,3,5,67,8,Some Random Commen with Id 10
11,3,5,3,8,Some Random Commen with Id 11
12,3,5,155,8,Some Random Commen with Id 12
13,3,5,4,8,Some Random Commen with Id 13
14,4,3,186,1,Some Random Commen with Id 14
15,4,3,159,5,Some Random Commen with Id 15
16,5,9,53,0,Some Random Commen with Id 16
17,5,9,70,4,Some Random Commen with Id 17
18,5,9,39,2,Some Random Commen with Id 18
19,5,9,151,8,Some Random Commen with Id 19
20,6,2,134,2,Some Random Commen with Id 20
21,6,2,167,6,Some Random Commen with Id 21
22,6,2,134,0,Some Random Commen with Id 22
23,6,2,32,2,Some Random Commen with Id 23
24,6,2,195,3,Some Random Commen with Id 24
25,6,2,40,5,Some Random Commen with Id 25
26,6,2,29,2,Some Random Commen with Id 26
27,7,3,129,8,Some Random Commen with Id 27
28,7,3,83,0,Some Random Commen with Id 28
29,7,3,49,5,Some Random Commen with Id 29
30,7,3,186,9,Some Random Commen with Id 30
31,7,3,139,9,Some Random Commen with Id 31
32,7,3,76,4,Some Random Commen with Id 32
33,7,3,199,4,Some Random Commen with Id 33
34,7,3,77,2,Some Random Commen with Id 34
35,8,3,160,7,Some Random Commen with Id 35
36,8,3,159,7,Some Random Commen with Id 36
37,8,3,15,5,Some Random Commen with Id 37
38,8,3,133,7,Some Random Commen with Id 38
39,8,3,94,2,Some Random Commen with Id 39
40,8,3,164,0,Some Random Commen with Id 40
41,9,8,169,1,Some Random Commen with Id 41
42,10,6,177,9,Some Random Commen with Id 42
43,11,9,26,1,Some Random Commen with Id 43
44,11,9,133,0,Some Random Commen with Id 44
45,11,9,141,7,Some Random Commen with Id 45
46,11,9,149,5,Some Random Commen with Id 46
47,11,9,96,6,Some Random Commen with Id 47
48,13,0,20,8,Some Random Commen with Id 48
49,13,0,91,6,Some Random Commen with Id 49
50,13,0,83,0,Some Random Commen with Id 50
51,13,0,19,9,Some Random Commen with Id 51
52,14,2,143,6,Some Random Commen with Id 52
53,14,2,95,8,Some Random Commen with Id 53
54,14,2,59,1,Some Random Commen with Id 54
55,15,4,24,8,Some Random Commen with Id 55
56,15,4,118,6,Some Random Commen with Id 56
57,15,4,143,3,Some Random Commen with Id 57
58,16,5,22,2,Some Random Commen with Id 58
59,16,5,164,9,Some Random Commen with Id 59
60,16,5,45,1,Some Random Commen with Id 60
61,16,5,98,7,Some Random Commen with Id 61
62,17,4,114,5,Some Random Commen with Id 62
63,17,4,32,8,Some Random Commen with Id 63
64,17,4,18,8,Some Random Commen with Id 64
65,17,4,118,2,Some Random Commen with Id 65
66,19,0,152,3,Some Random Commen with Id 66
67,19,0,49,4,Some Random Commen with Id 67
68,19,0,27,4,Some Random Commen with Id 68
69,19,0,32,5,Some Random Commen with Id 69
70,19,0,154,4,Some Random Commen with Id 70
71,19,0,0,0,Some Random Commen with Id 71
72,20,6,130,5,Some Random Commen with Id 72
73,20,6,149,6,Some Random Commen with Id 73
74,20,6,6,3,Some Random Commen with Id 74
75,20,6,118,8,Some Random Commen with Id 75
76,20,6,126,0,Some Random Commen with Id 76
77,21,4,180,0,Some Random Commen with Id 77
78,21,4,128,8,Some Random Commen with Id 78
79,21,4,15,6,Some Random Commen with Id 79
80,21,4,180,1,Some Random Commen with Id 80
